
PLAYER	2013/14 	2013/14(*)
1.	Kobe Bryant	$30,453,000	$35,433,903
2.	Dirk Nowitzki	$22,721,381	$26,437,698
3.	Gilbert Arenas	$22,346,536	$26,001,543
4.	Amare Stoudemire	$21,679,893	$25,225,864
5.	Carmelo Anthony	$21,490,000	$25,004,912
6.	Joe Johnson	$21,466,718	$24,977,822
7.	Dwight Howard	$20,513,178	$23,868,320
8.	Pau Gasol	$19,285,850	$22,440,250
9.	LeBron James	$19,067,500	$22,186,187
9.	Chris Bosh	$19,067,500	$22,186,187
11.	Kevin Durant	$18,773,176	$21,843,723
12.	Chris Paul	$18,668,431	$21,721,846
13.	Dwyane Wade	$18,536,000	$21,567,754
14.	Deron Williams	$18,466,130	$21,486,457
15.	Rudy Gay	$17,888,932	$20,814,852
16.	Zach Randolph	$17,800,000	$20,711,374
17.	Brandon Roy	$17,779,458	$20,687,472
18.	Derrick Rose	$17,632,688	$20,516,696
19.	Blake Griffin	$16,402,500	$19,085,298
20.	Paul Pierce	$15,333,334	$17,841,259
21.	Carlos Boozer	$15,300,000	$17,802,473
22.	Marc Gasol	$14,860,523	$17,291,115
23.	Brook Lopez	$14,694,000	$17,097,356
24.	Russell Westbrook	$14,693,906	$17,097,246
24.	Kevin Love	$14,693,906	$17,097,246
26.	Emeka Okafor	$14,544,687	$16,923,621
27.	Danny Granger	$14,379,240	$16,731,112
28.	Luol Deng	$14,312,125	$16,653,021
29.	Eric Gordon	$14,283,844	$16,620,114
29.	Roy Hibbert	$14,283,844	$16,620,114
31.	Andrew Bogut	$14,200,000	$16,522,557
32.	Tyson Chandler	$14,100,538	$16,406,827
33.	LaMarcus Aldridge	$14,100,000	$16,406,201
34.	Josh Smith	$14,000,000	$16,289,845
35.	David Lee	$13,878,000	$16,147,890
36.	James Harden	$13,668,750	$15,904,415
37.	Al Jefferson	$13,500,000	$15,708,064
38.	Ben Gordon	$13,200,000	$15,358,996
39.	Nenê	$13,000,000	$15,126,284
40.	Andre Iguodala	$12,868,632	$14,973,430
41.	Tony Parker	$12,500,000	$14,544,504
42.	Serge Ibaka	$12,250,000	$14,253,614
43.	Nikola Pekovic	$12,100,000	$14,079,080
44.	David West	$12,000,000	$13,962,724
44.	Kris Humphries	$12,000,000	$13,962,724
44.	Rajon Rondo	$12,000,000	$13,962,724
44.	Al Horford	$12,000,000	$13,962,724
48.	Tyreke Evans	$11,796,247	$13,725,645
49.	Joakim Noah	$11,600,000	$13,497,300
50.	Kevin Garnett	$11,532,468	$13,418,722
51.	Richard Jefferson	$11,046,000	$12,852,687
52.	Andrea Bargnani	$11,000,000	$12,799,164
52.	Jrue Holiday	$11,000,000	$12,799,164
54.	DeAndre Jordan	$10,986,550	$12,783,514
55.	Nicolas Batum	$10,920,250	$12,706,370
56.	Ty Lawson	$10,786,517	$12,550,763
57.	JaVale McGee	$10,750,000	$12,508,273
58.	Tim Duncan	$10,361,446	$12,056,167
59.	Danilo Gallinari	$10,146,925	$11,806,559
60.	Gerald Wallace	$10,105,855	$11,758,772
61.	Tiago Splitter	$10,000,000	$11,635,603
62.	Stephen Curry	$9,887,642	$11,504,868
63.	DeMar DeRozan	$9,500,000	$11,053,823
63.	Paul Millsap	$9,500,000	$11,053,823
65.	Metta World Peace	$9,317,280	$10,841,216
66.	Shawn Marion	$9,316,796	$10,840,654
67.	Steve Nash	$9,300,500	$10,821,693
68.	Andray Blatche	$9,170,525	$10,670,459
69.	Anderson Varejao	$9,100,000	$10,588,399
70.	Andris Biedrins	$9,000,000	$10,472,043
71.	Jeff Green	$8,700,000	$10,122,975
72.	Tyrus Thomas	$8,694,215	$10,116,243
73.	Thaddeus Young	$8,600,000	$10,006,619
73.	Jameer Nelson	$8,600,000	$10,006,619
75.	Charlie Villanueva	$8,580,000	$9,983,347
76.	Al Harrington	$8,548,107	$9,946,237
77.	Rodney Stuckey	$8,500,000	$9,890,263
78.	Kendrick Perkins	$8,477,437	$9,864,009
79.	Caron Butler	$8,386,992	$9,758,770
80.	Monta Ellis	$8,360,000	$9,727,364
81.	Ryan Anderson	$8,308,500	$9,667,441
