	PLAYER	2016/17 	2016/17(*)
1.	LeBron James	$30,963,450	$34,904,635
2.	DeMar DeRozan	$26,540,100	$29,918,259
2.	Russell Westbrook	$26,540,100	$29,918,259
2.	Mike Conley	$26,540,100	$29,918,259
2.	James Harden	$26,540,100	$29,918,259
2.	Kevin Durant	$26,540,100	$29,918,259
2.	Al Horford	$26,540,100	$29,918,259
8.	Dirk Nowitzki	$25,000,000	$28,182,127
9.	Carmelo Anthony	$24,559,380	$27,685,423
10.	Damian Lillard	$24,328,425	$27,425,070
11.	Chris Bosh	$23,741,060	$26,762,943
12.	Dwight Howard	$23,500,000	$26,491,199
13.	Dwyane Wade	$23,200,000	$26,153,014
14.	Chris Paul	$22,868,827	$25,779,687
15.	Bradley Beal	$22,116,750	$24,931,882
15.	Anthony Davis	$22,116,750	$24,931,882
15.	Hassan Whiteside	$22,116,750	$24,931,882
15.	Chandler Parsons	$22,116,750	$24,931,882
15.	Andre Drummond	$22,116,750	$24,931,882
15.	Harrison Barnes	$22,116,750	$24,931,882
21.	Derrick Rose	$21,323,252	$24,037,384
22.	Marc Gasol	$21,165,675	$23,859,750
22.	DeAndre Jordan	$21,165,675	$23,859,750
22.	Kevin Love	$21,165,675	$23,859,750
22.	Brook Lopez	$21,165,675	$23,859,750
26.	Nicolas Batum	$20,869,566	$23,525,950
27.	LaMarcus Aldridge	$20,575,005	$23,193,896
28.	Blake Griffin	$20,093,064	$22,650,611
29.	Paul Millsap	$20,072,033	$22,626,903
30.	Ryan Anderson	$18,735,364	$21,120,096
31.	Allen Crabbe	$18,500,000	$20,854,774
32.	Paul George	$18,100,000	$20,403,860
33.	Luol Deng	$18,000,000	$20,291,131
34.	Kawhi Leonard	$17,638,063	$19,883,125
34.	Kyrie Irving	$17,638,063	$19,883,125
36.	Jimmy Butler	$17,552,209	$19,786,343
37.	Tobias Harris	$17,200,000	$19,389,303
38.	Enes Kanter	$17,145,838	$19,328,247
38.	Greg Monroe	$17,145,838	$19,328,247
38.	Wesley Matthews	$17,145,838	$19,328,247
41.	Bismack Biyombo	$17,000,000	$19,163,846
41.	Evan Fournier	$17,000,000	$19,163,846
41.	Joakim Noah	$17,000,000	$19,163,846
44.	Klay Thompson	$16,663,575	$18,784,599
45.	Evan Turner	$16,393,443	$18,480,084
46.	Gordon Hayward	$16,073,140	$18,119,011
47.	Ian Mahinmi	$16,000,000	$18,036,561
47.	Timofey Mozgov	$16,000,000	$18,036,561
49.	Goran Dragic	$15,891,725	$17,914,504
50.	John Wall	$15,756,438	$17,761,997
50.	DeMarcus Cousins	$15,756,438	$17,761,997
52.	Kent Bazemore	$15,730,337	$17,732,574
53.	Pau Gasol	$15,500,000	$17,472,919
54.	Draymond Green	$15,330,435	$17,281,770
54.	Tristan Thompson	$15,330,435	$17,281,770
56.	Khris Middleton	$15,200,000	$17,134,733
57.	Danilo Gallinari	$15,050,000	$16,965,640
58.	Jeff Green	$15,000,000	$16,909,276
59.	Reggie Jackson	$14,956,522	$16,860,264
60.	Deron Williams	$14,885,520	$16,780,223
61.	Tony Parker	$14,445,313	$16,283,986
62.	Jonas Valanciunas	$14,382,023	$16,212,640
63.	DeMarre Carroll	$14,200,000	$16,007,448
64.	Manu Ginobili	$14,000,000	$15,781,991
64.	Eric Bledsoe	$14,000,000	$15,781,991
64.	Rajon Rondo	$14,000,000	$15,781,991
67.	Ricky Rubio	$13,400,000	$15,105,620
68.	Rudy Gay	$13,333,333	$15,030,467
69.	Jamal Crawford	$13,253,012	$14,939,922
70.	Robin Lopez	$13,219,250	$14,901,863
71.	Michael Kidd-Gilchrist	$13,000,000	$14,654,706
72.	JR Smith	$12,800,000	$14,429,249
73.	Brandon Knight	$12,606,250	$14,210,837
74.	Arron Afflalo	$12,500,000	$14,091,063
74.	Jordan Clarkson	$12,500,000	$14,091,063
76.	Tyson Chandler	$12,415,000	$13,995,244
77.	Miles Plumlee	$12,400,000	$13,978,335
78.	Eric Gordon	$12,385,665	$13,962,175
79.	John Henson	$12,267,606	$13,829,089
80.	Serge Ibaka	$12,250,000	$13,809,242
80.	Marvin Williams	$12,250,000	$13,809,242
82.	Stephen Curry	$12,112,359	$13,654,081
83.	Nikola Pekovic	$12,100,000	$13,640,149
84.	Thaddeus Young	$12,078,652	$13,616,084
84.	Kenneth Faried	$12,078,652	$13,616,084
86.	Marcin Gortat	$12,000,000	$13,527,421
86.	Kyle Lowry	$12,000,000	$13,527,421
86.	Kemba Walker	$12,000,000	$13,527,421
86.	Amir Johnson	$12,000,000	$13,527,421
90.	Nikola Vucevic	$11,750,000	$13,245,599
91.	Solomon Hill	$11,709,603	$13,200,060
92.	Jeremy Lin	$11,483,254	$12,944,901
93.	Andrew Bogut	$11,410,378	$12,862,748
94.	Courtney Lee	$11,242,000	$12,672,939
95.	Wilson Chandler	$11,233,146	$12,662,958
96.	Andre Iguodala	$11,131,368	$12,548,225
97.	Derrick Favors	$11,050,000	$12,456,500
98.	Joe Johnson	$11,000,000	$12,400,136
98.	Jrue Holiday	$11,000,000	$12,400,136
98.	Austin Rivers	$11,000,000	$12,400,136
101.	Jon Leuer	$10,991,957	$12,391,069
102.	Anderson Varejao	$10,851,659	$12,232,913
103.	Monta Ellis	$10,763,500	$12,133,533
104.	Mirza Teletovic	$10,500,000	$11,836,493
105.	Jared Dudley	$10,470,000	$11,802,674
106.	Al Jefferson	$10,230,179	$11,532,328
107.	Tyreke Evans	$10,203,755	$11,502,540
108.	Danny Green	$10,000,000	$11,272,850
108.	Terrence Ross	$10,000,000	$11,272,850
108.	Zach Randolph	$10,000,000	$11,272,850
111.	Alec Burks	$9,904,495	$11,165,189
112.	Omer Asik	$9,904,494	$11,165,188
113.	Iman Shumpert	$9,662,922	$10,892,867
114.	Matthew Dellavedova	$9,607,500	$10,830,391
115.	Jerryd Bayless	$9,424,084	$10,623,629
116.	Trevor Booker	$9,250,000	$10,427,387
117.	Meyers Leonard	$9,213,484	$10,386,223
118.	Gerald Henderson	$9,000,000	$10,145,565
119.	Moe Harkless	$8,988,764	$10,132,899
120.	Taj Gibson	$8,950,000	$10,089,201
121.	E'Twaun Moore	$8,801,363	$9,921,645
122.	Kris Humphries	$8,630,000	$9,728,470
123.	Ersan Ilyasova	$8,400,000	$9,469,194
124.	Dwight Powell	$8,375,000	$9,441,012
125.	Avery Bradley	$8,269,663	$9,322,267
126.	Tiago Splitter	$8,250,000	$9,300,102
127.	Darrell Arthur	$8,070,175	$9,097,388
128.	Kosta Koufos	$8,046,500	$9,070,699
129.	George Hill	$8,000,000	$9,018,280
129.	Anthony Tolliver	$8,000,000	$9,018,280
129.	Garrett Temple	$8,000,000	$9,018,280
129.	Kevin Garnett	$8,000,000	$9,018,280
129.	Jeff Teague	$8,000,000	$9,018,280
129.	Tyler Zeller	$8,000,000	$9,018,280
135.	Channing Frye	$7,806,971	$8,800,682
136.	Trevor Ariza	$7,800,000	$8,792,823
137.	Jose Calderon	$7,708,427	$8,689,594
138.	Al-Farouq Aminu	$7,680,965	$8,658,637
139.	Cole Aldrich	$7,643,979	$8,616,943
140.	Corey Brewer	$7,612,172	$8,581,088
141.	Markieff Morris	$7,400,000	$8,341,909
141.	Festus Ezeli	$7,400,000	$8,341,909
143.	JJ Redick	$7,377,500	$8,316,545
144.	Cory Joseph	$7,315,000	$8,246,090
145.	DJ Augustin	$7,250,000	$8,172,816
146.	Boris Diaw	$7,000,000	$7,890,995
146.	Rodney Stuckey	$7,000,000	$7,890,995
146.	Louis Williams	$7,000,000	$7,890,995
146.	Jeremy Lamb	$7,000,000	$7,890,995
150.	Sergio Rodriguez	$6,800,000	$7,665,538
151.	Carl Landry	$6,750,000	$7,609,174
152.	Ed Davis	$6,666,667	$7,515,234
