PLAYER	2019/20 	2019/20(*)
1.	Stephen Curry	$40,231,758	$42,674,629
2.	Chris Paul	$38,506,482	$40,844,595
2.	Russell Westbrook	$38,506,482	$40,844,595
4.	John Wall	$38,199,000	$40,518,442
4.	James Harden	$38,199,000	$40,518,442
6.	LeBron James	$37,436,858	$39,710,023
7.	Kevin Durant	$37,199,000	$39,457,722
8.	Blake Griffin	$34,449,964	$36,541,765
9.	Kyle Lowry	$33,296,296	$35,318,046
10.	Paul George	$33,005,556	$35,009,652
11.	Tobias Harris	$32,742,000	$34,730,093
11.	Jimmy Butler	$32,742,000	$34,730,093
11.	Kawhi Leonard	$32,742,000	$34,730,093
11.	Klay Thompson	$32,742,000	$34,730,093
11.	Kemba Walker	$32,742,000	$34,730,093
16.	Gordon Hayward	$32,700,690	$34,686,275
17.	Mike Conley	$32,511,623	$34,485,728
18.	Kyrie Irving	$31,742,000	$33,669,373
19.	Khris Middleton	$30,603,448	$32,461,689
20.	Paul Millsap	$30,350,000	$32,192,851
21.	Damian Lillard	$29,802,321	$31,611,917
22.	Kevin Love	$28,942,830	$30,700,238
23.	Al Horford	$28,000,000	$29,700,159
23.	Nikola Vucevic	$28,000,000	$29,700,159
25.	DeMar DeRozan	$27,739,975	$29,424,345
26.	CJ McCollum	$27,556,959	$29,230,217
27.	Joel Embiid	$27,504,630	$29,174,710
27.	Andrew Wiggins	$27,504,630	$29,174,710
27.	Nikola Jokic	$27,504,630	$29,174,710
30.	Devin Booker	$27,285,000	$28,941,744
30.	Karl-Anthony Towns	$27,285,000	$28,941,744
30.	D'Angelo Russell	$27,285,000	$28,941,744
30.	Kristaps Porzingis	$27,285,000	$28,941,744
34.	Otto Porter	$27,250,576	$28,905,230
35.	Anthony Davis	$27,093,019	$28,738,106
36.	Bradley Beal	$27,093,018	$28,738,105
36.	Hassan Whiteside	$27,093,018	$28,738,105
36.	Andre Drummond	$27,093,018	$28,738,105
39.	Jrue Holiday	$26,131,111	$27,717,791
40.	LaMarcus Aldridge	$26,000,000	$27,578,719
41.	Steven Adams	$25,842,697	$27,411,865
41.	Giannis Antetokounmpo	$25,842,697	$27,411,865
43.	Marc Gasol	$25,595,700	$27,149,870
44.	Nicolas Batum	$25,565,217	$27,117,536
45.	Rudy Gobert	$25,258,427	$26,792,118
46.	Chandler Parsons	$25,102,512	$26,626,736
47.	Harrison Barnes	$24,147,727	$25,613,976
48.	Serge Ibaka	$23,271,604	$24,684,655
49.	Danilo Gallinari	$22,615,559	$23,988,775
50.	Victor Oladipo	$21,000,000	$22,275,119
51.	Tim Hardaway Jr	$20,025,127	$21,241,052
52.	Malcolm Brogdon	$20,000,000	$21,214,399
53.	Terry Rozier	$19,894,737	$21,102,745
54.	Aaron Gordon	$19,863,636	$21,069,755
55.	Zach LaVine	$19,500,000	$20,684,039
56.	Kent Bazemore	$19,269,663	$20,439,716
57.	Goran Dragic	$19,217,900	$20,384,810
58.	Jeff Teague	$19,000,000	$20,153,679
59.	Evan Turner	$18,606,556	$19,736,345
60.	Draymond Green	$18,539,130	$19,664,825
60.	Tristan Thompson	$18,539,130	$19,664,825
62.	Gary Harris	$18,189,286	$19,293,739
63.	Julius Randle	$18,000,000	$19,092,959
63.	Myles Turner	$18,000,000	$19,092,959
65.	Derrick Favors	$17,650,000	$18,721,707
66.	Andre Iguodala	$17,185,185	$18,228,669
67.	Evan Fournier	$17,150,000	$18,191,347
68.	Bojan Bogdanovic	$17,000,000	$18,032,239
68.	Bismack Biyombo	$17,000,000	$18,032,239
70.	Clint Capela	$16,896,552	$17,922,510
71.	Gorgui Dieng	$16,229,213	$17,214,650
72.	Ricky Rubio	$16,200,000	$17,183,663
73.	Jonas Valanciunas	$16,000,000	$16,971,519
74.	Brandon Knight	$15,643,750	$16,593,638
75.	Kelly Oubre	$15,625,000	$16,573,749
75.	Eric Bledsoe	$15,625,000	$16,573,749
77.	Dennis Schroeder	$15,500,000	$16,441,159
78.	Ian Mahinmi	$15,450,051	$16,388,177
79.	James Johnson	$15,349,400	$16,281,415
80.	Bobby Portis	$15,000,000	$15,910,799
80.	Marcus Morris	$15,000,000	$15,910,799
82.	Danny Green	$14,634,147	$15,522,732
83.	Rudy Gay	$14,500,000	$15,380,439
84.	Cody Zeller	$14,471,910	$15,350,644
85.	Eric Gordon	$14,057,730	$14,911,315
86.	Mason Plumlee	$14,041,096	$14,893,671
87.	JJ Redick	$13,486,300	$14,305,187
88.	Jordan Clarkson	$13,437,500	$14,253,424
89.	Dewayne Dedmon	$13,333,334	$14,142,933
90.	Solomon Hill	$13,290,395	$14,097,387
91.	Justise Winslow	$13,000,000	$13,789,359
92.	Thaddeus Young	$12,900,000	$13,683,287
93.	Will Barton	$12,776,786	$13,552,592
94.	Courtney Lee	$12,759,670	$13,534,437
95.	Larry Nance Jr	$12,727,273	$13,500,072
96.	Patrick Mills	$12,678,571	$13,448,413
97.	Kelly Olynyk	$12,667,885	$13,437,078
98.	Marcus Smart	$12,553,571	$13,315,823
99.	Terrence Ross	$12,500,000	$13,258,999
100.	Patrick Beverley	$12,345,680	$13,095,309
101.	Trevor Ariza	$12,200,000	$12,940,783
102.	Brook Lopez	$12,093,024	$12,827,312
103.	Cory Joseph	$12,000,000	$12,728,639
103.	Jusuf Nurkic	$12,000,000	$12,728,639
105.	Joe Ingles	$11,454,546	$12,150,065
106.	Tony Snell	$11,392,857	$12,084,631
107.	Robert Covington	$11,301,219	$11,987,428
108.	Meyers Leonard	$11,286,515	$11,971,832
109.	TJ Warren	$11,060,000	$11,731,563
110.	Moe Harkless	$11,011,234	$11,679,836
111.	Andre Roberson	$10,740,740	$11,392,917
112.	Spencer Dinwiddie	$10,605,600	$11,249,571
113.	Jeremy Lamb	$10,500,000	$11,137,559
114.	Dwight Powell	$10,259,375	$10,882,324
115.	George Hill	$10,133,907	$10,749,237
116.	Norman Powell	$10,116,576	$10,730,854
116.	Josh Richardson	$10,116,576	$10,730,854
118.	Tyus Jones	$10,116,000	$10,730,243
119.	Tomas Satoransky	$10,000,000	$10,607,199
120.	DeAndre Jordan	$9,881,598	$10,481,608
121.	Zion Williamson	$9,757,440	$10,349,911
122.	Markelle Fultz	$9,745,200	$10,336,928
123.	John Henson	$9,732,396	$10,323,346
124.	Matthew Dellavedova	$9,607,500	$10,190,867
125.	Dante Exum	$9,600,000	$10,182,911
126.	Deandre Ayton	$9,562,920	$10,143,580
